"""","総       数_出 火件 数(件)","総       数_焼 損害 額(百万円)","総       数_り 災世 帯(世帯)","総       数_り 災人 員(人)","総       数_ 死 者(人)","総       数_ 負傷者(人)","総       数       うち建物_出 火件 数(件)","総       数       うち建物_焼 損棟 数(棟)","総       数       うち建物_焼 損面 積","総       数   うち林野_出 火件 数(件)","総       数   うち林野_焼 損面 積(ｱ-ﾙ)"
"平成12年(2000年)","547.0","1354.0","224.0","606.0","24.0","45.0","299.0","399.0","18676.0","37.0","2464.0"
"","","","","","","","","","","",""
"平成13年(2001年)","551.0","1201.0","241.0","593.0","21.0","66.0","316.0","452.0","18538.0","27.0","547.0"
"平成14年(2002年)","526.0","1124.0","278.0","752.0","25.0","56.0","306.0","422.0","13838.0","32.0","3494.0"
"平成15年(2003年)","467.0","893.0","185.0","495.0","16.0","53.0","269.0","349.0","11802.0","15.0","254.0"
"平成16年(2004年)","527.0","1842.1","250.0","654.0","16.0","43.0","300.0","421.0","23367.0","34.0","2237.0"
"平成17年(2005年)","496.0","997.0","245.0","570.0","26.0","56.0","292.0","402.0","11995.0","27.0","1953.0"
"","","","","","","","","","","",""
"平成18年(2006年)","499.0","1070.0","236.0","565.0","16.0","56.0","278.0","395.0","13937.0","21.0","78.0"
"平成19年(2007年)","512.0","1232.0","336.0","886.0","18.0","81.0","293.0","428.0","16087.0","31.0","362.0"
"平成20年(2008年)","419.0","917.0","204.0","463.0","22.0","51.0","249.0","344.0","12081.0","26.0","107.0"
"平成21年(2009年)","425.0","733.0","201.0","482.0","22.0","62.0","248.0","352.0","10833.0","17.0","2270.0"
"平成22年(2010年)","351.0","769.0","169.0","409.0","11.0","30.0","196.0","274.0","13342.0","15.0","602.0"
"","","","","","","","","","","",""
"平成23年(2011年)","418.0","982.0","195.0","395.0","25.0","64.0","225.0","341.0","13505.0","23.0","586.0"
"平成24年(2012年)","364.0","763.0","179.0","417.0","16.0","61.0","217.0","300.0","9846.0","9.0","386.0"
"平成25年(2013年)","434.0","787.0","176.0","418.0","23.0","46.0","207.0","341.0","12434.0","22.0","2188.0"
"平成26年(2014年)","356.0","611.0","164.0","385.0","19.0","53.0","208.0","313.0","9034.0","6.0","60.0"
"","","","","","","","","","","",""
"2014年 1月","43.0","30.0","29.0","66.0","2.0","11.0","29.0","47.0","996.0","3.0","18.0"
"2014年 2月","29.0","39.0","21.0","54.0","2.0","3.0","16.0","36.0","832.0","1.0","22.0"
"2014年 3月","42.0","157.0","20.0","44.0","5.0","6.0","23.0","29.0","1129.0","0.0","4.0"
"2014年 4月","39.0","41.0","20.0","46.0","1.0","5.0","23.0","37.0","1131.0","0.0","0.0"
"2014年 5月","37.0","38.0","16.0","39.0","0.0","5.0","18.0","24.0","573.0","1.0","16.0"
"2014年 6月","20.0","17.0","6.0","17.0","0.0","3.0","9.0","10.0","187.0","1.0","0.0"
"","","","","","","","","","","",""
"2014年 7月","23.0","44.0","4.0","11.0","0.0","1.0","16.0","27.0","999.0","0.0","0.0"
"2014年 8月","20.0","15.0","7.0","12.0","1.0","5.0","10.0","13.0","338.0","0.0","0.0"
"2014年 9月","27.0","58.0","10.0","26.0","1.0","4.0","15.0","27.0","929.0","0.0","0.0"
"2014年10月","26.0","18.0","8.0","23.0","2.0","3.0","16.0","22.0","510.0","0.0","0.0"
"2014年11月","29.0","11.0","11.0","22.0","4.0","3.0","17.0","18.0","291.0","0.0","0.0"
"2014年12月","21.0","142.0","12.0","25.0","1.0","4.0","16.0","23.0","1119.0","0.0","0.0"
